Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,lime,0,0,0,1,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),4,Associate degree in college (2-year),1,"$0 - $49,999",3,Hispanic/Latinx,1,No familiarity,4,2,1,7,2,2,2,1,0,0,1,1,1,4,side by side,2,0,0,0,0,0,0,6
0,lime,0,0,0,1,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),4,Associate degree in college (2-year),1,"$0 - $49,999",3,Hispanic/Latinx,1,No familiarity,4,2,1,7,7,2,2,1,0,0,1,1,1,3,wom 1,1,5,1,0,0,0,0,2
0,lime,0,0,0,1,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),4,Associate degree in college (2-year),1,"$0 - $49,999",3,Hispanic/Latinx,1,No familiarity,4,2,1,7,6,4,4,1,0,0,1,1,1,2,wom 2,1,5,0,0,0,0,0,0
0,lime,0,0,0,1,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),4,Associate degree in college (2-year),1,"$0 - $49,999",3,Hispanic/Latinx,1,No familiarity,4,2,1,7,7,2,2,1,0,0,1,1,1,3,wom 3,1,5,1,0,0,0,0,5
0,lime,0,0,0,1,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),4,Associate degree in college (2-year),1,"$0 - $49,999",3,Hispanic/Latinx,1,No familiarity,4,2,1,7,7,2,2,1,0,0,1,1,1,3,man 1,1,5,1,0,0,0,0,4
0,lime,0,0,0,1,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),4,Associate degree in college (2-year),1,"$0 - $49,999",3,Hispanic/Latinx,1,No familiarity,4,2,1,7,7,2,2,1,0,0,1,1,1,3,man 2,1,5,1,0,0,0,0,3
0,lime,0,0,0,1,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),4,Associate degree in college (2-year),1,"$0 - $49,999",3,Hispanic/Latinx,1,No familiarity,4,2,1,7,7,2,2,1,0,0,1,1,1,3,man 3,1,5,1,0,0,0,0,1
1,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,6,4,2,12,2,9,8,0,0,0,1,1,1,3,side by side,2,0,0,0,1,0,1,6
1,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,6,4,2,12,6,12,10,0,0,0,1,1,1,1,wom 1,1,4,1,0,1,0,1,5
1,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,6,4,2,12,7,11,9,0,0,0,1,1,1,1,wom 2,1,5,1,0,1,0,1,2
1,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,6,4,2,12,7,12,10,0,0,0,1,1,1,1,wom 3,1,5,1,0,1,0,1,4
1,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,6,4,2,12,6,11,9,0,0,0,1,1,1,1,man 1,1,4,1,0,1,0,1,1
1,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,6,4,2,12,7,11,9,0,0,0,1,1,1,2,man 2,1,5,1,0,1,1,0,0
1,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,6,4,2,12,5,11,9,0,0,0,1,1,1,1,man 3,1,3,1,0,1,0,1,3
2,lime,0,0,0,1,0,0,0,0,0,0,0,1,42,0,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,2,12,9,0,1,0,0,1,1,4,side by side,2,0,0,1,1,1,0,6
2,lime,0,0,0,1,0,0,0,0,0,0,0,1,42,0,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,7,12,9,0,1,0,0,1,1,3,wom 1,1,5,1,1,1,1,0,1
2,lime,0,0,0,1,0,0,0,0,0,0,0,1,42,0,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,7,12,9,0,1,0,0,1,1,3,wom 2,1,5,1,1,1,1,1,5
2,lime,0,0,0,1,0,0,0,0,0,0,0,1,42,0,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,7,12,9,0,1,0,0,1,1,3,wom 3,1,5,1,1,1,1,0,3
2,lime,0,0,0,1,0,0,0,0,0,0,0,1,42,0,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,6,12,9,0,1,0,0,1,1,3,man 1,1,4,1,1,1,1,0,0
2,lime,0,0,0,1,0,0,0,0,0,0,0,1,42,0,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,7,12,9,0,1,0,0,1,1,3,man 2,1,5,1,1,1,1,0,4
2,lime,0,0,0,1,0,0,0,0,0,0,0,1,42,0,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,7,12,9,0,1,0,0,1,1,3,man 3,1,5,1,1,1,1,0,2
3,lime,0,0,0,1,0,0,0,0,0,0,0,1,31,1,Unsure/Questioning,5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,3,5,3,11,2,3,3,0,0,0,0,1,1,4,side by side,2,0,0,0,0,0,0,6
3,lime,0,0,0,1,0,0,0,0,0,0,0,1,31,1,Unsure/Questioning,5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,3,5,3,11,7,2,2,0,0,0,0,1,1,3,wom 1,1,5,1,0,0,0,0,4
3,lime,0,0,0,1,0,0,0,0,0,0,0,1,31,1,Unsure/Questioning,5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,3,5,3,11,7,4,4,0,0,0,0,1,1,3,wom 2,1,5,1,0,0,0,0,2
3,lime,0,0,0,1,0,0,0,0,0,0,0,1,31,1,Unsure/Questioning,5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,3,5,3,11,7,4,4,0,0,0,0,1,1,3,wom 3,1,5,1,0,0,0,0,0
3,lime,0,0,0,1,0,0,0,0,0,0,0,1,31,1,Unsure/Questioning,5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,3,5,3,11,7,4,4,0,0,0,0,1,1,3,man 1,1,5,1,0,0,0,0,1
3,lime,0,0,0,1,0,0,0,0,0,0,0,1,31,1,Unsure/Questioning,5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,3,5,3,11,7,4,4,0,0,0,0,1,1,3,man 2,1,5,1,0,0,0,0,5
3,lime,0,0,0,1,0,0,0,0,0,0,0,1,31,1,Unsure/Questioning,5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,3,5,3,11,7,4,4,0,0,0,0,1,1,3,man 3,1,5,1,0,0,0,0,3
4,lime,0,0,0,1,0,0,0,0,0,0,0,1,26,1,Man/Male (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,1,No familiarity,5,4,4,13,2,9,8,0,0,0,0,0,0,2,side by side,2,0,0,0,0,0,0,6
4,lime,0,0,0,1,0,0,0,0,0,0,0,1,26,1,Man/Male (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,1,No familiarity,5,4,4,13,7,8,7,0,0,0,0,0,0,1,wom 1,1,5,1,0,1,1,0,1
4,lime,0,0,0,1,0,0,0,0,0,0,0,1,26,1,Man/Male (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,1,No familiarity,5,4,4,13,7,8,7,0,0,0,0,0,0,1,wom 2,1,5,1,1,1,0,1,0
4,lime,0,0,0,1,0,0,0,0,0,0,0,1,26,1,Man/Male (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,1,No familiarity,5,4,4,13,7,9,6,0,0,0,0,0,0,0,wom 3,1,5,1,1,1,0,1,2
4,lime,0,0,0,1,0,0,0,0,0,0,0,1,26,1,Man/Male (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,1,No familiarity,5,4,4,13,7,7,7,0,0,0,0,0,0,3,man 1,1,5,1,0,1,1,0,3
4,lime,0,0,0,1,0,0,0,0,0,0,0,1,26,1,Man/Male (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,1,No familiarity,5,4,4,13,7,5,4,0,0,0,0,0,0,2,man 2,1,5,1,0,1,0,1,4
4,lime,0,0,0,1,0,0,0,0,0,0,0,1,26,1,Man/Male (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,1,No familiarity,5,4,4,13,5,11,11,0,0,0,0,0,0,3,man 3,1,3,1,0,0,0,0,5
5,lime,0,0,0,1,0,0,0,0,0,0,0,1,36,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",2,Black/African American,2,Beginner,4,5,5,14,2,10,7,0,0,0,0,1,1,3,side by side,2,0,0,1,1,1,1,6
5,lime,0,0,0,1,0,0,0,0,0,0,0,1,36,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",2,Black/African American,2,Beginner,4,5,5,14,6,10,7,0,0,0,0,1,1,2,wom 1,1,4,1,1,1,1,0,3
5,lime,0,0,0,1,0,0,0,0,0,0,0,1,36,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",2,Black/African American,2,Beginner,4,5,5,14,7,11,8,0,0,0,0,1,1,2,wom 2,1,5,1,1,1,1,0,5
5,lime,0,0,0,1,0,0,0,0,0,0,0,1,36,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",2,Black/African American,2,Beginner,4,5,5,14,7,10,7,0,0,0,0,1,1,2,wom 3,1,5,1,1,1,1,0,0
5,lime,0,0,0,1,0,0,0,0,0,0,0,1,36,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",2,Black/African American,2,Beginner,4,5,5,14,6,10,7,0,0,0,0,1,1,1,man 1,1,4,1,1,1,1,0,2
5,lime,0,0,0,1,0,0,0,0,0,0,0,1,36,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",2,Black/African American,2,Beginner,4,5,5,14,7,10,7,0,0,0,0,1,1,1,man 2,1,5,1,1,1,1,0,1
5,lime,0,0,0,1,0,0,0,0,0,0,0,1,36,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",2,Black/African American,2,Beginner,4,5,5,14,5,11,8,0,0,0,0,1,1,2,man 3,1,3,1,1,1,1,1,4
6,lime,0,0,0,1,0,0,0,0,0,0,0,1,32,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,5,5,3,13,2,4,4,1,0,0,1,1,1,4,side by side,2,0,0,0,0,0,0,6
6,lime,0,0,0,1,0,0,0,0,0,0,0,1,32,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,5,5,3,13,7,4,4,1,0,0,1,1,1,3,wom 1,1,5,1,0,0,0,0,0
6,lime,0,0,0,1,0,0,0,0,0,0,0,1,32,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,5,5,3,13,7,4,4,1,0,0,1,1,1,3,wom 2,1,5,1,0,0,0,0,1
6,lime,0,0,0,1,0,0,0,0,0,0,0,1,32,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,5,5,3,13,7,4,4,1,0,0,1,1,1,3,wom 3,1,5,1,0,0,0,0,2
6,lime,0,0,0,1,0,0,0,0,0,0,0,1,32,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,5,5,3,13,5,4,4,1,0,0,1,1,1,3,man 1,1,3,1,0,0,0,0,5
6,lime,0,0,0,1,0,0,0,0,0,0,0,1,32,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,5,5,3,13,7,4,4,1,0,0,1,1,1,3,man 2,1,5,1,0,0,0,0,3
6,lime,0,0,0,1,0,0,0,0,0,0,0,1,32,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,5,5,3,13,7,5,5,1,0,0,1,1,1,3,man 3,1,5,1,0,0,0,0,4
7,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,2,3,3,0,0,0,0,1,1,4,side by side,2,0,0,0,0,0,0,6
7,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,7,3,3,0,0,0,0,1,1,3,wom 1,1,5,1,0,0,0,0,4
7,lime,0,0,0,1,0,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,7,3,3,0,0,0,0,1,1,3,wom 2,1,5,1,0,0,0,0,3
